row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
84213,0.0,105000,115000.0,97.0,>60%,White,Home_Purchase,Principal_Residence,Denied,43.44,4,2,0
74702,38.0,5000,165000.0,101.25,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,98.7,6,4,4
5802,113.0,245000,355000.0,70.0,36%-<43%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,44.24,0,6,6
71667,40.0,55000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Incomplete,74.27,6,4,4
7540,73.0,65000,85000.0,75.0,36%-<43%,Race Not Available,Home_Purchase,Investment,Denied,77.9,1,5,3
46215,118.0,285000,305000.0,95.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,90.99,2,7,5
971,46.0,215000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,26.88,0,6,6
17955,100.0,85000,605000.0,48.556,36%-<43%,White,Refinance,Principal_Residence,Originated,32.77,6,4,4
1607,95.0,135000,195000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Purchased,80.97,1,5,3
60871,54.0,175000,375000.0,78.353,Unknown,Black or African American,Home_Purchase,Principal_Residence,Withdrawn,59.1,2,7,5
31210,95.0,205000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,28.44,2,7,1
92330,156.0,255000,775000.0,32.26,30%-<36%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,79.45,6,4,4
37095,57.0,25000,215000.0,82.273,36%-<43%,White,Refinance,Principal_Residence,Originated,67.55,6,4,4
18104,159.0,395000,445000.0,92.941,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,49.48,2,7,5
77345,140.0,155000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Incomplete,44.66,6,4,4
6115,96.0,565000,375000.0,78.353,Unknown,Asian,CashOut_Refinance,Principal_Residence,Denied,73.09,0,6,6
2838,68.0,245000,245000.0,98.776,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,37.67,0,6,6
65116,40.0,195000,375000.0,78.353,Unknown,Asian,Refinance,Principal_Residence,Incomplete,41.63,0,6,6
55320,292.0,205000,645000.0,40.951,<20%,White,Refinance,Principal_Residence,Originated,18.6,6,4,4
37297,126.0,385000,535000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,8.56,2,7,1
76245,1744.0,2075000,2875000.0,72.383,20%-<30%,Race Not Available,Home_Purchase,Second_Residence,Originated,14.92,5,3,4
54693,43.0,155000,205000.0,75.0,36%-<43%,White,Refinance,Principal_Residence,Originated,29.79,0,6,6
