row,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,kmeans_cluster,hier_cluster,clarans_cluster
93051,107.0,315000,375000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Withdrawn,56.16,2,7,5
22645,205.0,95000,715000.0,82.02,50%-60%,White,Other,Principal_Residence,Denied,38.71,4,2,0
4200,30.0,15000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Withdrawn,36.51,6,4,4
66319,78.0,305000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,21.1,2,7,1
17485,101.0,15000,455000.0,58.8,20%-<30%,White,Home_Improvement,Principal_Residence,Denied,57.32,6,4,4
39734,150.0,415000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,11.22,2,7,1
38639,114.0,575000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Denied,15.77,2,7,1
24413,0.0,105000,105000.0,96.5,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,38.29,2,7,5
25215,103.0,335000,345000.0,96.5,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,64.25,2,7,5
29354,53.0,105000,485000.0,20.7,36%-<43%,White,Refinance,Principal_Residence,Originated,15.38,0,6,6
60020,178.0,255000,2105000.0,35.255,43%-<50%,Asian,Other,Principal_Residence,Originated,88.85,6,4,4
93025,95.0,355000,355000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,28.0,2,7,1
70069,46.0,275000,375000.0,78.353,Unknown,White,Home_Purchase,Investment,Withdrawn,15.97,1,5,3
91037,103.0,205000,285000.0,73.571,20%-<30%,White,Refinance,Principal_Residence,Originated,27.56,0,6,6
25998,145.0,445000,485000.0,92.0,30%-<36%,Race Not Available,Home_Purchase,Principal_Residence,Originated,81.94,2,7,5
34931,116.0,555000,555000.0,100.0,50%-60%,Joint,Home_Purchase,Principal_Residence,Originated,47.18,4,2,0
81004,50.0,245000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,20.82,0,6,6
15775,169.0,395000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,9.33,0,6,6
87385,72.0,175000,265000.0,67.939,20%-<30%,White,Refinance,Principal_Residence,Originated,5.96,0,6,6
64686,493.0,135000,695000.0,79.98,<20%,White,Home_Improvement,Principal_Residence,Originated,13.67,5,4,4
86308,207.0,445000,375000.0,78.353,Unknown,Asian,NotApplicable,Principal_Residence,Withdrawn,39.63,2,7,1
28101,58.0,135000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,7.98,0,6,6
51924,173.0,365000,405000.0,96.543,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,15.04,2,7,1
65298,84.0,55000,535000.0,61.499,36%-<43%,White,Other,Principal_Residence,Originated,52.59,6,4,4
32266,106.0,265000,395000.0,67.308,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,12.23,0,6,6
23893,72.0,95000,475000.0,57.092,43%-<50%,White,Refinance,Principal_Residence,Originated,6.44,6,4,4
68867,76.0,235000,255000.0,92.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,21.94,3,1,2
77988,1.0,205000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,21.38,0,6,6
15853,64.0,105000,335000.0,79.987,30%-<36%,White,Other,Principal_Residence,Originated,4.08,6,4,4
74112,140.0,35000,355000.0,96.7,43%-<50%,Black or African American,Other,Principal_Residence,Denied,82.52,6,4,4
2935,574.0,805000,3825000.0,20.92,36%-<43%,Joint,Home_Improvement,Principal_Residence,Originated,38.27,5,3,4
51314,181.0,45000,455000.0,97.96,30%-<36%,Race Not Available,Other,Principal_Residence,Denied,17.15,6,4,4
82078,53.0,165000,205000.0,80.0,30%-<36%,Race Not Available,Other,Principal_Residence,Originated,67.46,2,7,5
14922,77.0,425000,375000.0,78.353,Unknown,Asian,Refinance,Principal_Residence,Withdrawn,96.94,0,6,6
1954,207.0,105000,485000.0,89.826,36%-<43%,White,Home_Improvement,Principal_Residence,Denied,52.19,6,4,4
43027,120.0,355000,395000.0,90.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,47.12,2,7,5
6533,366.0,1275000,375000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Withdrawn,36.19,5,7,1
48280,100.0,35000,645000.0,72.259,43%-<50%,Race Not Available,Home_Improvement,Principal_Residence,Originated,20.92,6,4,4
644,104.0,545000,605000.0,90.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,97.82,2,7,5
95092,182.0,665000,705000.0,93.83,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,12.86,2,7,1
23281,95.0,65000,75000.0,80.0,Unknown,Race Not Available,Home_Purchase,Investment,Originated,50.17,1,5,3
6457,151.0,55000,615000.0,77.128,36%-<43%,Black or African American,Home_Improvement,Principal_Residence,Originated,36.23,6,4,4
15155,52.0,245000,255000.0,97.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,20.94,2,7,1
20533,48.0,145000,165000.0,78.353,50%-60%,Black or African American,Home_Purchase,Second_Residence,Denied,7.48,3,1,2
36639,95.0,135000,155000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,13.37,2,7,1
27913,88.0,405000,375000.0,78.353,Unknown,Black or African American,CashOut_Refinance,Principal_Residence,Withdrawn,77.39,0,6,6
18040,92.0,415000,425000.0,96.5,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,43.59,2,7,1
43066,85.0,565000,605000.0,93.34,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,98.01,2,7,5
15597,92.0,375000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Incomplete,36.28,0,6,6
41684,94.0,465000,475000.0,96.5,50%-60%,Race Not Available,Home_Purchase,Principal_Residence,Originated,56.69,4,2,0
43199,95.0,175000,175000.0,78.353,Unknown,Black or African American,Home_Purchase,Principal_Residence,Purchased,39.04,2,7,1
23350,57.0,125000,185000.0,70.0,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,25.38,0,6,6
14305,140.0,55000,325000.0,66.69,<20%,White,Home_Improvement,Principal_Residence,Originated,9.94,6,4,4
55827,160.0,665000,825000.0,80.15,30%-<36%,Asian,Refinance,Principal_Residence,Denied,73.09,0,6,6
79764,54.0,155000,255000.0,59.0,36%-<43%,Black or African American,CashOut_Refinance,Principal_Residence,Originated,62.62,0,6,6
43297,55.0,315000,505000.0,62.0,50%-60%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,21.3,4,2,0
3788,100.0,265000,425000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Purchased,83.84,0,6,6
62447,35.0,95000,95000.0,96.499,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,7.99,3,1,2
61034,47.0,245000,755000.0,78.845,>60%,White,Other,Principal_Residence,Denied,32.4,4,2,0
30783,95.0,305000,375000.0,78.353,Unknown,Race Not Available,Other,Investment,Withdrawn,0.0,1,5,3
7986,69.0,165000,275000.0,62.121,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,8.15,2,7,1
38418,109.0,75000,175000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,8.96,2,7,1
49605,95.0,435000,425000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,48.84,2,7,5
60604,82.0,45000,375000.0,78.353,Unknown,Black or African American,Other,Principal_Residence,Withdrawn,70.59,6,4,4
21264,53.0,235000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,2,7,1
44171,252.0,605000,815000.0,73.62,36%-<43%,White,Home_Purchase,Second_Residence,Originated,12.38,2,7,1
62473,110.0,325000,345000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,48.99,2,7,5
22157,83.0,315000,375000.0,78.353,Unknown,Joint,CashOut_Refinance,Principal_Residence,Withdrawn,18.4,0,6,6
30575,171.0,205000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Incomplete,52.28,1,5,3
30695,95.0,75000,375000.0,78.353,Unknown,Race Not Available,Refinance,Investment,Originated,42.22,1,5,3
47975,202.0,565000,595000.0,94.999,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,7.49,2,7,1
19049,48.0,105000,115000.0,90.0,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Denied,0.0,3,1,2
8982,132.0,215000,285000.0,76.786,43%-<50%,White,Home_Purchase,Second_Residence,Denied,11.76,2,7,1
85272,75.0,325000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Incomplete,98.39,0,6,6
35340,82.0,225000,325000.0,69.231,20%-<30%,White,Home_Purchase,Principal_Residence,Approved_NotAccepted,8.9,2,7,1
84209,445.0,255000,375000.0,78.353,Unknown,White,Refinance,Investment,Withdrawn,19.07,1,5,3
19748,45.0,65000,955000.0,58.42,>60%,Black or African American,Other,Principal_Residence,Denied,79.82,4,2,0
52757,60.0,235000,295000.0,80.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,80.32,2,7,5
1837,354.0,1105000,1905000.0,57.895,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,17.82,5,6,6
77360,46.0,185000,255000.0,75.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,28.64,2,7,1
27713,99.0,295000,455000.0,65.444,30%-<36%,White,CashOut_Refinance,Investment,Denied,71.37,1,5,3
67358,78.0,165000,225000.0,80.0,36%-<43%,White,CashOut_Refinance,Principal_Residence,Approved_NotAccepted,22.91,0,6,6
81833,53.0,175000,185000.0,96.5,50%-60%,White,Home_Purchase,Principal_Residence,Originated,31.51,4,2,0
14382,167.0,355000,605000.0,58.537,20%-<30%,Black or African American,Refinance,Principal_Residence,Denied,21.77,0,6,6
50530,265.0,415000,2645000.0,15.7197,Unknown,Joint,CashOut_Refinance,Investment,Originated,0.0,1,5,3
21611,507.0,1045000,1315000.0,80.0,>60%,White,Home_Purchase,Second_Residence,Originated,31.21,5,3,0
6682,96.0,15000,365000.0,100.427,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,41.51,6,4,4
20271,56.0,255000,335000.0,74.627,43%-<50%,Race Not Available,Refinance,Principal_Residence,Denied,39.64,0,6,6
47525,125.0,555000,605000.0,90.0,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,18.59,2,7,1
84,44.0,175000,175000.0,98.189,43%-<50%,White,Home_Purchase,Principal_Residence,Denied,23.66,3,1,2
38892,78.0,125000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Incomplete,8.8,0,6,6
96212,69.0,135000,135000.0,78.353,43%-<50%,White,Home_Purchase,Principal_Residence,Approved_NotAccepted,6.74,3,1,2
85994,75.0,125000,375000.0,78.353,>60%,Black or African American,Home_Purchase,Principal_Residence,Denied,29.48,3,1,2
43274,267.0,945000,1005000.0,94.0,30%-<36%,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,2,7,1
11448,42.0,75000,275000.0,25.92,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,82.73,0,6,5
38949,95.0,315000,435000.0,78.353,Unknown,White,Home_Purchase,Investment,Purchased,19.97,1,5,3
68739,121.0,515000,585000.0,88.417,50%-60%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,40.03,4,2,0
93782,169.0,545000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,10.85,0,6,6
71025,95.0,285000,285000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,26.04,2,7,1
31212,126.0,125000,155000.0,80.0,20%-<30%,White,Other,Principal_Residence,Originated,8.45,2,7,1
16316,118.0,205000,855000.0,72.704,>60%,White,Home_Improvement,Principal_Residence,Denied,48.95,4,2,0
65011,84.0,15000,305000.0,102.12,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,75.49,6,4,4
82714,606.0,2135000,3805000.0,90.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,36.87,5,3,1
13888,145.0,525000,545000.0,95.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,11.63,2,7,1
97319,95.0,805000,1405000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,45.29,0,6,6
78363,32.0,145000,155000.0,96.5,>60%,Black or African American,Home_Purchase,Principal_Residence,Denied,98.27,4,2,0
80317,25.0,125000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,38.74,0,6,6
72054,95.0,75000,115000.0,65.0,Unknown,White,Home_Purchase,Investment,Originated,67.31,1,5,3
38626,106.0,145000,375000.0,78.353,Exempt,White,Home_Purchase,Principal_Residence,Originated,8.73,2,7,1
27476,57.0,15000,205000.0,106.319,50%-60%,White,Home_Purchase,Principal_Residence,Denied,97.12,4,2,0
23923,120.0,185000,395000.0,46.835,43%-<50%,White,Refinance,Principal_Residence,Originated,22.31,0,6,6
9422,155.0,635000,935000.0,67.88,36%-<43%,Asian,Home_Purchase,Principal_Residence,Denied,48.67,2,7,1
72820,118.0,665000,675000.0,96.5,50%-60%,White,Home_Purchase,Principal_Residence,Originated,53.75,4,2,0
20672,51.0,25000,205000.0,54.2,20%-<30%,White,Home_Improvement,Principal_Residence,Denied,6.98,6,4,4
26897,183.0,155000,255000.0,78.353,Unknown,White,Other,Investment,Purchased,57.37,1,5,3
49455,95.0,245000,445000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Purchased,36.21,2,7,1
38830,64.0,75000,375000.0,78.353,Unknown,American Indian or Alaska Native,Home_Purchase,Principal_Residence,Incomplete,87.01,3,1,2
14577,145.0,515000,375000.0,78.353,Unknown,Black or African American,Home_Purchase,Principal_Residence,Withdrawn,41.6,2,7,1
86364,270.0,415000,525000.0,80.0,36%-<43%,Asian,Home_Purchase,Second_Residence,Originated,23.05,2,7,1
89881,74.0,75000,345000.0,79.909,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,38.78,6,4,4
46763,72.0,275000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Incomplete,43.93,0,6,6
19651,90.0,115000,125000.0,78.353,43%-<50%,White,Home_Purchase,Principal_Residence,Denied,52.35,3,1,2
69813,66.0,35000,565000.0,29.492,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,48.46,6,4,4
74322,26.0,95000,385000.0,24.0,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,31.66,0,6,6
36323,44.0,135000,145000.0,78.353,>60%,Black or African American,Home_Purchase,Principal_Residence,Denied,0.0,3,1,2
73187,206.0,395000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,7.24,2,7,1
20034,55.0,325000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,76.58,0,6,6
45140,76.0,125000,375000.0,78.353,Unknown,White,CashOut_Refinance,Investment,Withdrawn,94.49,1,5,3
82262,243.0,425000,455000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Denied,34.71,2,7,1
44964,136.0,225000,275000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,59.2,2,7,5
90190,110.0,415000,905000.0,45.778,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,39.67,2,6,1
7963,69.0,275000,345000.0,80.0,36%-<43%,Black or African American,CashOut_Refinance,Principal_Residence,Originated,51.19,0,6,6
9521,360.0,85000,445000.0,80.0,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,90.44,6,4,4
90925,660.0,475000,375000.0,78.353,Unknown,Asian,Refinance,Principal_Residence,Incomplete,8.95,5,3,6
40041,90.0,115000,145000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Purchased,78.3,0,6,6
88058,166.0,255000,705000.0,35.72,30%-<36%,White,Other,Principal_Residence,Originated,10.73,2,6,1
47415,644.0,2255000,2815000.0,80.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,84.57,5,3,5
33333,270.0,105000,645000.0,87.12,36%-<43%,White,Home_Improvement,Principal_Residence,Originated,18.86,6,4,4
9399,155.0,145000,375000.0,78.353,Unknown,White,Refinance,Investment,Withdrawn,28.01,1,5,3
13041,112.0,415000,465000.0,90.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,12.97,2,7,1
39700,88.0,125000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,0.0,3,1,2
57710,95.0,445000,455000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,16.46,2,7,1
42629,147.0,365000,465000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Purchased,37.22,2,7,1
30945,298.0,155000,695000.0,75.24,43%-<50%,White,Home_Improvement,Principal_Residence,Denied,7.53,6,4,4
6624,126.0,485000,575000.0,83.65,43%-<50%,White,Home_Purchase,Principal_Residence,Approved_NotAccepted,26.15,2,7,1
42705,55.0,135000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,58.51,2,7,5
6946,95.0,47995000,375000.0,78.353,Unknown,Race Not Available,Refinance,Investment,Withdrawn,56.43,1,5,3
26492,144.0,445000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Withdrawn,52.01,2,7,5
73173,36.0,165000,205000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,25.68,2,7,1
3251,55.0,45000,65000.0,70.228,20%-<30%,Black or African American,Other,Principal_Residence,Originated,99.05,2,7,5
59971,43.0,145000,145000.0,101.01,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,12.43,2,7,1
19689,76.0,105000,765000.0,73.68,>60%,White,Home_Improvement,Principal_Residence,Denied,26.63,4,2,0
44059,59.0,255000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,95.39,2,7,5
10245,57.0,285000,375000.0,95.0,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,2,7,1
83591,40.0,115000,125000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,11.02,3,1,2
52858,95.0,385000,375000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Denied,46.71,1,5,3
66946,65.0,75000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Withdrawn,14.54,6,4,4
7336,288.0,1285000,1605000.0,80.0,50%-60%,White,Home_Purchase,Principal_Residence,Originated,22.29,4,2,0
12433,82.0,95000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Incomplete,29.88,6,4,4
18268,436.0,865000,1155000.0,75.0,30%-<36%,White,Home_Purchase,Second_Residence,Originated,26.83,5,3,1
42333,169.0,245000,315000.0,80.0,43%-<50%,White,Home_Purchase,Second_Residence,Originated,9.68,2,7,1
33909,110.0,365000,465000.0,78.353,Unknown,Asian,Home_Purchase,Principal_Residence,Purchased,67.68,2,7,5
77449,79.0,85000,145000.0,78.353,>60%,White,Home_Purchase,Investment,Originated,93.56,1,5,3
50893,175.0,355000,915000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Purchased,58.67,2,7,5
29833,261.0,685000,865000.0,78.73,30%-<36%,White,Refinance,Principal_Residence,Originated,41.34,0,6,6
51920,60.0,145000,305000.0,46.35,30%-<36%,Black or African American,CashOut_Refinance,Investment,Denied,86.37,1,5,3
23815,327.0,1205000,3205000.0,37.5,36%-<43%,White,Other,Principal_Residence,Originated,21.67,5,3,1
91532,87.0,55000,555000.0,67.0,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,34.15,6,4,4
8038,69.0,295000,305000.0,96.5,36%-<43%,Black or African American,Home_Purchase,Principal_Residence,Originated,27.1,2,7,1
37048,53.0,115000,125000.0,90.0,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,10.95,2,7,1
48649,849.0,975000,1305000.0,75.0,43%-<50%,White,Home_Purchase,Investment,Originated,32.64,5,3,3
28644,172.0,515000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,18.06,2,7,1
62273,30.0,85000,95000.0,90.0,20%-<30%,Race Not Available,CashOut_Refinance,Principal_Residence,Denied,6.36,0,6,6
48096,61.0,75000,75000.0,78.353,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,36.73,3,1,2
89739,54.0,195000,285000.0,68.0,43%-<50%,White,CashOut_Refinance,Principal_Residence,Denied,70.77,0,6,6
14097,72.0,305000,535000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,8.67,0,6,6
8958,58.0,155000,165000.0,96.5,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,12.6,2,7,1
34459,101.0,85000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Incomplete,44.55,6,4,4
29510,137.0,415000,465000.0,88.34,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,65.18,2,7,5
23867,36.0,95000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Withdrawn,7.92,0,6,6
79827,72.0,35000,355000.0,60.126,>60%,White,Home_Improvement,Investment,Denied,30.51,1,5,3
60666,111.0,255000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,18.21,0,6,6
89080,168.0,305000,315000.0,97.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,7.27,2,7,1
53598,137.0,395000,425000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,10.01,2,7,1
45935,74.0,105000,285000.0,35.714,20%-<30%,Black or African American,Home_Improvement,Principal_Residence,Denied,73.49,0,6,5
29017,325.0,105000,955000.0,66.089,20%-<30%,White,Home_Improvement,Principal_Residence,Originated,37.63,6,4,4
14718,100.0,135000,375000.0,78.353,Unknown,White,Home_Improvement,Principal_Residence,Withdrawn,27.78,6,4,4
50761,80.0,215000,235000.0,93.913,36%-<43%,Black or African American,Home_Purchase,Principal_Residence,Originated,75.63,2,7,5
40224,129.0,55000,275000.0,68.476,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,18.41,6,4,4
78765,70.0,345000,345000.0,100.0,43%-<50%,White,Home_Purchase,Principal_Residence,Denied,10.97,2,7,1
68454,110.0,65000,475000.0,85.468,36%-<43%,Race Not Available,Home_Improvement,Principal_Residence,Originated,26.96,6,4,4
87866,120.0,475000,595000.0,80.0,20%-<30%,Asian,Home_Purchase,Principal_Residence,Denied,42.7,2,7,5
18408,95.0,315000,555000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,29.69,2,7,1
10894,350.0,185000,615000.0,89.994,20%-<30%,White,Refinance,Principal_Residence,Originated,26.11,6,4,4
65167,65.0,145000,205000.0,70.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,29.87,0,6,6
15773,35.0,225000,335000.0,66.67,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,46.05,2,6,5
46583,185.0,705000,945000.0,74.469,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,97.08,2,7,5
16155,222.0,1445000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,28.55,2,7,1
88732,115.0,345000,475000.0,73.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,17.41,2,7,1
40097,319.0,255000,1575000.0,52.508,>60%,Asian,CashOut_Refinance,Investment,Approved_NotAccepted,21.7,1,5,3
89701,77.0,205000,375000.0,53.981,30%-<36%,White,Home_Purchase,Principal_Residence,Originated,10.26,2,6,1
45194,165.0,645000,735000.0,88.66,30%-<36%,Asian,Home_Purchase,Principal_Residence,Originated,51.18,2,7,1
24562,122.0,205000,225000.0,78.353,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,21.83,3,1,2
21982,95.0,395000,415000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,19.25,2,7,1
48671,190.0,185000,375000.0,48.649,<20%,White,Refinance,Principal_Residence,Originated,5.19,0,6,6
79181,300.0,735000,1005000.0,93.1,20%-<30%,White,Refinance,Principal_Residence,Originated,45.12,0,6,6
70140,160.0,355000,395000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,15.39,2,7,1
10782,29.0,15000,375000.0,78.353,Unknown,White,Other,Principal_Residence,Denied,90.67,6,4,4
77956,71.0,305000,345000.0,90.0,50%-60%,White,Refinance,Principal_Residence,Approved_NotAccepted,34.1,4,2,0
54051,116.0,735000,1055000.0,70.0,30%-<36%,White,CashOut_Refinance,Principal_Residence,Originated,24.3,0,6,6
4475,141.0,265000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Preapproval_Approved_NotAccepted,0.0,2,7,1
32503,42.0,95000,125000.0,73.469,43%-<50%,White,Refinance,Investment,Originated,8.23,1,5,3
97457,0.0,155000,275000.0,80.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,22.65,6,4,4
26614,110.0,205000,765000.0,76.209,43%-<50%,White,Other,Principal_Residence,Originated,38.77,6,4,4
49232,218.0,945000,1185000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,34.87,2,7,1
49310,52.0,165000,265000.0,61.538,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,51.34,0,6,6
53243,52.0,295000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,82.4,0,6,6
12002,185.0,455000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Withdrawn,53.42,6,4,4
15255,91.0,385000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,33.22,2,7,1
44210,158.0,105000,135000.0,80.0,20%-<30%,Race Not Available,Home_Purchase,Investment,Originated,93.08,1,5,3
26248,90.0,305000,385000.0,80.0,36%-<43%,Race Not Available,Refinance,Principal_Residence,Approved_NotAccepted,92.22,0,6,6
20431,92.0,355000,375000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,39.49,2,7,5
48462,72.0,265000,715000.0,77.315,>60%,Asian,Other,Principal_Residence,Denied,35.0,4,2,0
75138,88.0,75000,455000.0,64.979,30%-<36%,White,Home_Improvement,Principal_Residence,Originated,29.32,6,4,4
85931,75.0,205000,225000.0,92.44,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,7.28,2,7,1
68850,77.0,425000,455000.0,95.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,75.0,2,7,5
58929,48.0,195000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,30.65,0,6,6
12789,212.0,665000,705000.0,95.0,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,68.9,2,7,5
21405,167.0,285000,425000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Purchased,13.64,2,7,1
18215,135.0,265000,375000.0,78.353,Unknown,White,CashOut_Refinance,Principal_Residence,Incomplete,23.08,0,6,6
47290,137.0,955000,375000.0,78.353,Exempt,White,CashOut_Refinance,Principal_Residence,Denied,20.07,0,6,6
97714,85.0,375000,395000.0,95.671,43%-<50%,Black or African American,Home_Purchase,Principal_Residence,Originated,95.12,2,7,5
24481,70.0,95000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Incomplete,13.38,3,1,2
8423,54.0,165000,165000.0,102.5,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,94.09,2,7,5
77441,120.0,205000,235000.0,78.353,20%-<30%,White,Home_Purchase,Principal_Residence,Denied,16.47,3,1,2
