kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,_approved,anomaly_votes,iso_score,tract_minority_population_percent
6,94.0,175000,835000.0,70.491,>60%,Joint,Home_Improvement,Principal_Residence,Denied,0.0,0,0.44101577310269746,57.16
3,48.0,55000,375000.0,78.353,Exempt,Black or African American,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.38461379087229747,36.74
0,219.0,375000,465000.0,80.0,20%-<30%,Asian,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4369282641258026,46.76
3,140.0,275000,525000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Purchased,,0,0.35670873480628484,35.16
2,90.0,125000,185000.0,70.0,43%-<50%,White,Home_Purchase,Investment,Originated,1.0,0,0.3701486205193956,65.38
3,89.0,65000,185000.0,80.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Originated,1.0,0,0.43038610434921365,4.69
0,247.0,555000,1025000.0,54.21,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4390606849868836,21.22
2,261.0,865000,1155000.0,75.0,30%-<36%,White,Home_Purchase,Investment,Originated,1.0,1,0.4653270205783848,8.68
5,176.0,55000,295000.0,52.859,<20%,White,Home_Improvement,Principal_Residence,Originated,1.0,0,0.38904690230156636,11.27
0,190.0,605000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,,0,0.3880666750390741,20.12
5,64.0,85000,215000.0,67.34,43%-<50%,Black or African American,Other,Principal_Residence,Approved_NotAccepted,,0,0.38949999089458814,72.65
0,92.0,165000,255000.0,64.0,<20%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.36594918539013155,16.28
0,74.0,285000,465000.0,61.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.3747903858658695,26.85
0,149.0,865000,965000.0,90.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,1.0,0,0.4779956571690554,55.97
0,72.0,275000,375000.0,72.783,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,1.0,0,0.35093749381305345,12.48
0,106.0,335000,375000.0,90.0,36%-<43%,Race Not Available,Home_Purchase,Principal_Residence,Preapproval_Denied,,1,0.5195088537322555,0.0
0,95.0,175000,185000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,,0,0.36300485877924654,15.9
