feature,bin_left,bin_right,count
combined_loan_to_value_ratio,79.77,82.43,9018
combined_loan_to_value_ratio,82.43,85.09,2368
combined_loan_to_value_ratio,85.09,87.75,1041
combined_loan_to_value_ratio,87.75,90.4,4159
combined_loan_to_value_ratio,90.4,93.06,790
combined_loan_to_value_ratio,93.06,95.72,4547
combined_loan_to_value_ratio,95.72,98.37,4701
combined_loan_to_value_ratio,98.37,101.03,3291
combined_loan_to_value_ratio,101.03,103.69,652
combined_loan_to_value_ratio,103.69,106.35,712
loan_term,1.0,12.97,498
loan_term,12.97,24.95,122
loan_term,24.95,36.92,196
loan_term,36.92,48.9,24
loan_term,48.9,60.88,943
loan_term,60.88,72.85,127
loan_term,72.85,84.83,186
loan_term,84.83,96.8,53
loan_term,96.8,108.77,38
loan_term,108.77,120.75,2894
loan_term,120.75,132.72,19
loan_term,132.72,144.7,184
loan_term,144.7,156.67,40
loan_term,156.67,168.65,82
loan_term,168.65,180.62,6960
loan_term,180.62,192.6,35
loan_term,192.6,204.57,47
loan_term,204.57,216.55,49
loan_term,216.55,228.53,18
loan_term,228.53,240.5,4604
loan_term,240.5,252.47,49
loan_term,252.47,264.45,72
loan_term,264.45,276.43,556
loan_term,276.43,288.4,49
loan_term,288.4,300.38,4423
loan_term,300.38,312.35,53
loan_term,312.35,324.32,49
loan_term,324.32,336.3,45
loan_term,336.3,348.27,257
loan_term,348.27,360.25,75422
loan_term,360.25,372.22,422
loan_term,372.22,384.2,51
loan_term,384.2,396.18,6
loan_term,396.18,408.15,8
loan_term,408.15,420.12,48
loan_term,420.12,432.1,2
loan_term,432.1,444.07,8
loan_term,444.07,456.05,2
loan_term,456.05,468.02,5
loan_term,468.02,480.0,1349
