,kmeans_cluster,anomaly_votes,iso_score
0,1,0,0.3866403028465093
1,5,0,0.44873970059355855
2,2,0,0.35927680580380955
3,0,0,0.40567237221939795
4,3,0,0.36246665274095
5,2,0,0.38932610609258556
6,0,0,0.41263176261173184
7,0,0,0.36705364097631954
8,3,0,0.3614642559892593
9,2,0,0.4777612555379356
10,2,0,0.3851053141610522
11,0,0,0.41501796370016264
12,2,0,0.41069465901762936
13,4,0,0.3991771551910981
14,2,0,0.356007567897616
15,4,0,0.42444636261237667
16,1,1,0.4680648942646211
17,0,0,0.41254108620625113
18,0,0,0.3745204039762201
19,6,0,0.3913248152945969
20,0,0,0.44694066792066695
21,4,0,0.40760101367362833
22,2,0,0.39475815158456834
23,0,0,0.3997557619596313
24,2,0,0.35132320778193327
25,0,0,0.3519669429899808
26,1,0,0.39601041237551965
27,2,0,0.3482813553287438
28,5,0,0.4890645010041062
29,0,0,0.43859103592938714
30,6,0,0.388018467703661
31,4,0,0.43612898124729527
32,5,1,0.4796726152505136
33,0,0,0.3675948559131235
34,6,0,0.3727839922671795
35,2,0,0.36967709264730025
36,2,0,0.3744157978406294
37,0,0,0.3636993794275474
38,0,0,0.40195174386288124
39,2,0,0.41234957214050144
40,1,0,0.3699756286597089
41,6,0,0.4329535163959402
42,2,0,0.4140581220714417
43,0,0,0.3708870366550494
44,2,0,0.363043183918273
45,2,0,0.35995807515867256
46,6,0,0.43343242519070385
47,2,0,0.3764603193531914
48,2,0,0.35551922176549794
49,6,0,0.39888216281697325
50,6,0,0.38677519917062003
51,6,0,0.4751609786004552
52,2,0,0.40536888990187925
53,0,0,0.37252153992678266
54,2,0,0.40483333852831804
55,0,0,0.45056855800839085
56,4,0,0.44527934565317656
57,2,2,0.5540280445533496
58,6,0,0.3796824631274055
59,2,0,0.3873891343030721
60,6,0,0.3671863989758464
61,2,0,0.43263108578221743
62,4,0,0.36083976564178966
63,5,0,0.4234883968886052
64,2,0,0.3833193111659082
65,2,0,0.35790849664500846
66,2,2,0.5338993173706079
67,6,0,0.4453108090078963
68,2,0,0.3602091899674141
69,6,0,0.3831263710169603
70,4,0,0.4637859813350451
71,6,0,0.44271926335204553
72,1,0,0.46106673660001335
73,0,0,0.40192389893809066
74,0,0,0.4098434212298777
75,2,0,0.4035186980454718
76,1,0,0.3784990778390134
77,3,0,0.4058766911265243
78,1,0,0.37775487429016785
79,1,0,0.38352769594166236
80,2,0,0.361333461831431
81,0,0,0.4010679950548331
82,2,0,0.37274412549207864
83,0,0,0.36229865926963173
84,3,0,0.3910349505717121
85,3,0,0.4170023742774706
86,0,0,0.4208553117890846
87,2,0,0.4099832170673158
88,0,0,0.34446068338647223
89,6,0,0.40228268808478
90,0,0,0.3530004624321142
91,2,0,0.3728398871392707
92,4,0,0.36882944189664274
93,6,0,0.43016405537142005
94,0,0,0.3611917335553856
95,2,0,0.3665587732980864
96,2,0,0.42118606289603316
97,6,0,0.389376167358345
98,2,0,0.3742181291686132
99,4,0,0.3808884401144637
100,3,0,0.35287726995403856
101,2,0,0.3553020681816477
102,2,0,0.40453823621853513
103,0,0,0.4028158614358219
104,2,0,0.41483770980341633
105,0,0,0.47925939019643293
106,2,2,0.5653285322153391
107,4,0,0.377669591317075
108,2,2,0.5065305078321832
109,0,0,0.36665885968589307
110,4,0,0.47434699104840006
111,6,0,0.42490157492353703
112,6,2,0.5296254981312101
113,0,0,0.3875491830012945
114,2,0,0.36695349481899975
115,0,0,0.36238395063203943
116,2,0,0.3804481739185852
117,4,1,0.5224343150535224
118,1,0,0.475321976382252
119,3,0,0.4006773615261134
120,2,0,0.4290991005555035
121,2,0,0.37973650306996565
122,0,0,0.4103832508080433
123,0,0,0.3603645662565254
124,5,2,0.7047659955191907
125,1,2,0.5095176629461337
126,6,0,0.4630709263026283
127,0,0,0.34709661539801
128,2,0,0.40585004473370545
129,0,0,0.3797466917916211
130,2,0,0.42899634860279223
131,0,1,0.4531051527365127
132,6,0,0.4087896453900401
133,6,0,0.4231457578451803
134,5,0,0.5102861737214066
135,2,0,0.36632844417699006
136,6,1,0.4697078202108039
137,5,1,0.5899092260950705
138,5,1,0.5044878869312902
139,0,0,0.3992091467980879
140,5,0,0.5015282295511058
141,0,0,0.4023151219235146
142,1,0,0.44240758932429014
143,1,0,0.5041535566076727
144,4,0,0.39356165298291496
145,2,0,0.38958370913973195
146,6,0,0.3987616218382666
147,2,0,0.3851496336957778
148,0,0,0.3628198650233823
149,2,0,0.36807709355693685
150,2,0,0.37780658386242094
151,6,0,0.433001564150218
152,0,0,0.43286427152777135
153,2,1,0.45784518585259903
154,2,0,0.41177472203070525
155,6,0,0.3764959593568092
156,0,0,0.4117466125093492
157,4,0,0.3952600188819153
158,1,0,0.4898219131761384
159,6,0,0.4355082004579732
160,0,0,0.4076001820401218
161,4,0,0.40547148364310315
162,0,0,0.3643994920933465
163,2,0,0.36617827300725186
164,2,0,0.3854691579048896
165,2,1,0.5196481773615869
166,2,0,0.4586731611320003
167,2,0,0.40393508558234376
168,5,4,0.6350071087889155
169,2,0,0.37540205046721775
170,5,1,0.49594591765896295
171,2,0,0.4204273401389693
172,2,0,0.4026681729502108
173,2,0,0.4038057748650004
174,4,0,0.42592069082289324
175,2,0,0.3776031974107627
176,2,0,0.42825656718328947
177,0,0,0.3608223224144949
178,0,3,0.6173486173430731
179,2,1,0.5118337492551017
180,5,1,0.5207582478685593
181,2,1,0.4523510027016836
182,2,0,0.3613031216393094
183,2,0,0.35387590917286355
184,0,0,0.3674128323473329
185,4,0,0.41614482295572114
186,4,0,0.38235393016788377
187,0,0,0.374264349221604
188,2,0,0.3608028046340654
189,2,0,0.4675393516647214
190,2,2,0.5606094215884191
191,6,0,0.40560258110445446
192,2,0,0.36201702982871325
193,2,0,0.35760792541065645
194,0,0,0.36967344189344414
195,6,0,0.3748706155712673
196,5,2,0.5092029638435109
197,1,0,0.44143354843935306
198,2,0,0.441060927803899
199,0,0,0.35820812017129394
200,2,0,0.36309169516040857
201,2,2,0.5575480822080188
202,1,3,0.6369979353867034
203,6,0,0.4482542271058496
204,2,0,0.39232269505935286
205,6,0,0.3900302634303859
206,1,0,0.40504440339536363
207,6,0,0.4442967093654864
208,3,0,0.3619553381852389
209,5,0,0.48223510151693544
210,3,0,0.3751751394033159
211,0,0,0.3704337010731639
212,0,0,0.3494071779160032
213,2,0,0.3506683894262153
214,0,2,0.5050774071848015
215,2,0,0.3736405488366349
216,6,0,0.4706071126935629
217,2,0,0.3707820324668115
218,5,0,0.4000571352737703
219,2,0,0.37509906275064325
220,6,0,0.39945661960406326
221,0,0,0.4058241093041293
222,2,0,0.4626595760009651
223,0,0,0.374248160740664
224,0,0,0.3532342726363688
225,0,0,0.36433475728339537
226,0,0,0.3951957678304588
227,3,0,0.35141704223762144
228,4,0,0.3676764436976076
229,0,0,0.3754430327323757
230,0,0,0.36022800761356194
231,6,0,0.49488044176680906
232,2,0,0.4660810555380024
233,0,0,0.35868280771828903
234,2,0,0.40390995977202476
235,0,0,0.4700304003641494
236,4,0,0.39437285329042365
237,0,0,0.46618808234975934
238,0,0,0.42711516793362886
239,0,0,0.39235479399091433
240,4,0,0.4093034235819712
241,0,0,0.3795739881220765
242,6,0,0.49913773078597845
243,3,0,0.36622609365110725
244,2,0,0.37923044549927676
245,0,1,0.4892631077037379
246,0,0,0.44200834082495466
247,0,0,0.3624017833169749
248,6,0,0.3839356549785188
249,0,0,0.47622442279057364
250,0,0,0.4163745955013037
251,3,0,0.4310779746086135
252,1,0,0.3544936050330939
253,2,0,0.416171142301332
254,2,0,0.3775478140799654
255,2,0,0.41413058110993306
256,2,0,0.4370529653989834
257,0,0,0.40076671047600526
258,2,0,0.37426589282077366
259,1,1,0.44063516860685853
260,0,0,0.4296960162336651
261,5,2,0.5617264535262725
262,2,0,0.4002806867489935
263,4,0,0.3615484837116347
264,2,0,0.37099727487216366
265,2,1,0.530218356630567
266,6,0,0.41326768586696205
267,0,0,0.3513902400753324
268,4,0,0.3672213922540991
269,2,0,0.3874391062248808
