row,kmeans_cluster,income,loan_amount,property_value,combined_loan_to_value_ratio,debt_to_income_ratio,derived_race,loan_purpose,occupancy_type,action_taken,tract_minority_population_percent,clarans_cluster
55586,3,33.0,155000,275000.0,54.54,43%-<50%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,30.71,6
1041,3,95.0,185000,325000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Purchased,21.79,6
98208,3,103.0,115000,335000.0,35.455,<20%,White,Refinance,Principal_Residence,Originated,77.09,6
52121,3,90.0,275000,375000.0,78.353,Unknown,Black or African American,CashOut_Refinance,Principal_Residence,Withdrawn,20.47,6
80230,5,175.0,155000,375000.0,78.353,Unknown,Black or African American,Home_Improvement,Principal_Residence,Withdrawn,89.13,4
4089,0,147.0,595000,845000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,20.9,1
40852,0,103.0,75000,375000.0,78.353,Unknown,Black or African American,Home_Improvement,Principal_Residence,Incomplete,76.43,5
46440,6,58.0,115000,355000.0,80.31,>60%,White,Other,Principal_Residence,Denied,14.22,0
77857,1,483.0,855000,1145000.0,75.0,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,23.62,1
91834,0,48.0,205000,225000.0,92.0,43%-<50%,Asian,Home_Purchase,Principal_Residence,Originated,33.35,1
39873,2,95.0,35000,135000.0,78.353,Unknown,Race Not Available,Home_Purchase,Investment,Denied,15.03,3
96780,0,126.0,295000,455000.0,64.73,36%-<43%,White,Home_Purchase,Principal_Residence,Originated,9.71,1
71679,0,78.0,475000,525000.0,89.999,43%-<50%,Race Not Available,Home_Purchase,Principal_Residence,Originated,25.87,1
19458,6,55.0,285000,295000.0,96.5,>60%,Black or African American,Home_Purchase,Principal_Residence,Denied,16.24,0
70239,3,57.0,255000,375000.0,78.353,Unknown,Race Not Available,CashOut_Refinance,Principal_Residence,Withdrawn,63.76,6
89948,6,87.0,35000,585000.0,69.82,>60%,Black or African American,Home_Improvement,Principal_Residence,Denied,89.54,0
14734,3,109.0,475000,1625000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Denied,22.93,6
82884,5,153.0,175000,615000.0,62.02,43%-<50%,White,Refinance,Principal_Residence,Originated,16.27,4
87104,0,57.0,225000,375000.0,78.353,Unknown,White,Home_Purchase,Principal_Residence,Withdrawn,34.21,1
94767,0,89.0,165000,175000.0,97.75,36%-<43%,American Indian or Alaska Native,Home_Purchase,Principal_Residence,Originated,35.36,1
81314,3,95.0,235000,375000.0,78.353,Unknown,Race Not Available,Refinance,Principal_Residence,Incomplete,89.77,6
65732,2,121.0,95000,375000.0,78.353,Unknown,Race Not Available,Refinance,Investment,Incomplete,46.81,3
1902,3,342.0,365000,525000.0,71.0,36%-<43%,Asian,CashOut_Refinance,Principal_Residence,Originated,50.23,6
66548,4,55.0,115000,125000.0,78.353,36%-<43%,White,Home_Purchase,Principal_Residence,Denied,46.72,2
91075,0,95.0,325000,325000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,67.66,5
15159,6,149.0,355000,605000.0,59.333,50%-60%,American Indian or Alaska Native,Refinance,Principal_Residence,Denied,28.89,0
54453,0,107.0,195000,215000.0,88.372,20%-<30%,White,Home_Purchase,Principal_Residence,Originated,17.39,1
20041,2,155.0,345000,515000.0,66.99,43%-<50%,White,Home_Purchase,Investment,Originated,17.32,3
47492,3,73.0,155000,215000.0,80.0,20%-<30%,White,CashOut_Refinance,Principal_Residence,Denied,6.61,6
49492,0,95.0,115000,115000.0,78.353,Unknown,Race Not Available,Home_Purchase,Principal_Residence,Purchased,7.67,1
6413,3,135.0,265000,375000.0,78.353,Unknown,White,Refinance,Principal_Residence,Incomplete,55.57,6
30899,0,89.0,255000,245000.0,100.0,43%-<50%,White,Home_Purchase,Principal_Residence,Originated,80.28,5
13302,5,96.0,105000,505000.0,41.87,30%-<36%,Race Not Available,Home_Improvement,Principal_Residence,Originated,36.95,4
40870,3,137.0,255000,445000.0,56.818,<20%,Race Not Available,CashOut_Refinance,Principal_Residence,Originated,27.98,6
88436,3,96.0,145000,375000.0,49.15,36%-<43%,White,Refinance,Principal_Residence,Denied,41.19,6
5821,3,44.0,185000,245000.0,76.25,43%-<50%,White,CashOut_Refinance,Principal_Residence,Originated,38.73,6
48732,1,381.0,465000,475000.0,96.5,20%-<30%,White,Home_Purchase,Second_Residence,Denied,60.14,5
19750,3,70.0,135000,155000.0,81.653,20%-<30%,White,Refinance,Principal_Residence,Approved_NotAccepted,17.74,6
43146,3,39.0,155000,195000.0,79.0,36%-<43%,White,Refinance,Principal_Residence,Originated,52.78,6
29021,0,50.0,195000,375000.0,78.353,30%-<36%,Black or African American,Home_Purchase,Principal_Residence,Denied,73.0,5
