antecedent,consequent,support,confidence,lift,leverage,conviction,n_items,improvement,best_subrule,kept,decision_reason
"conforming_loan_limit=C, construction_method=Manufactured",decision=Denied,0.02426762203842128,0.5719249478804727,2.4733456669146148,0.014455963941842315,1.795864177178035,2,0.0027686546577894156,construction_method=Manufactured,Tidak,"Cuma unggul 0.3 poin dari construction_method=Manufactured, di bawah ambang 2 poin, jadi dianggap variasi trivial."
construction_method=Manufactured,decision=Denied,0.02426762203842128,0.5691562932226832,2.46137234764186,0.014408235236716496,1.7843237330664283,1,0.33792094446776266,(base rate),Ya,"Confidence unggul 33.8 poin di atas sub-rule terbaiknya ((base rate)), jadi menambah informasi baru."
"income_band=<30k, lien_status=First_Lien",decision=Denied,0.022233034042490454,0.5430320489737126,2.348395484936241,0.012765704461462036,1.6823163408255204,2,-0.03511240930773196,income_band=<30k,Tidak,"Cuma unggul -3.5 poin dari income_band=<30k, di bawah ambang 2 poin, jadi dianggap variasi trivial."
preapproval=Requested,decision=Originated,0.023338788388105033,1.0,1.3007882170185834,0.00539675287244076,inf,1,0.23123534875492058,(base rate),Ya,"Confidence unggul 23.1 poin di atas sub-rule terbaiknya ((base rate)), jadi menambah informasi baru."
"conforming_loan_limit=C, preapproval=Requested",decision=Originated,0.021584324826396568,1.0,1.3007882170185834,0.004991058878871302,inf,2,0.0,preapproval=Requested,Tidak,"Cuma unggul 0.0 poin dari preapproval=Requested, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"lien_status=First_Lien, preapproval=Requested",decision=Originated,0.02317661108408156,1.0,1.3007882170185834,0.005359251746984758,inf,2,0.0,preapproval=Requested,Tidak,"Cuma unggul 0.0 poin dari preapproval=Requested, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"loan_purpose=Home_Purchase, preapproval=Requested",decision=Originated,0.023338788388105033,1.0,1.3007882170185834,0.00539675287244076,inf,2,0.0,preapproval=Requested,Tidak,"Cuma unggul 0.0 poin dari preapproval=Requested, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"occupancy_type=Principal_Residence, preapproval=Requested",decision=Originated,0.02164329839149601,1.0,1.3007882170185834,0.005004695651764392,inf,2,0.0,preapproval=Requested,Tidak,"Cuma unggul 0.0 poin dari preapproval=Requested, di bawah ambang 2 poin, jadi dianggap variasi trivial."
"debt_to_income_ratio=30%-<36%, loan_purpose=Home_Purchase",decision=Originated,0.06227608474501305,0.9250985545335085,1.2033572993181114,0.010524136441460885,3.087194743903413,2,0.06299011452934566,debt_to_income_ratio=30%-<36%,Ya,"Confidence unggul 6.3 poin di atas sub-rule terbaiknya (debt_to_income_ratio=30%-<36%), jadi menambah informasi baru."
"debt_to_income_ratio=30%-<36%, loan_amount_band=300-500k",decision=Originated,0.025624014035708492,0.9234856535600424,1.201259256736609,0.0042930533026193166,3.022117544144167,2,0.06137721355587955,debt_to_income_ratio=30%-<36%,Ya,"Confidence unggul 6.1 poin di atas sub-rule terbaiknya (debt_to_income_ratio=30%-<36%), jadi menambah informasi baru."
