income__median,loan_amount__median,property_value__median,combined_loan_to_value_ratio__median,loan_term__median,tract_minority_population_percent__median,tract_to_msa_income_percentage__median,ffiec_msa_md_median_family_income__median,income__iqr,loan_amount__iqr,property_value__iqr,combined_loan_to_value_ratio__iqr,loan_term__iqr,tract_minority_population_percent__iqr,tract_to_msa_income_percentage__iqr,ffiec_msa_md_median_family_income__iqr,n,member_individual_flag_rate,collective_iso_score,collective_flag,group_spec,group_fields,group_values,pure_collective_candidate
132.0,375000.0,805000.0,73.385,360.0,81.82,106.0,113300.0,105.0,410000.0,670000.0,29.078999999999994,0.0,21.75999999999999,35.0,12200.0,293,0.14675767918088736,0.1802444964202461,True,state_x_product,state_code x loan_type,HI | Conventional,True
124.5,430000.0,555000.0,78.353,360.0,48.85,130.0,139700.0,140.25,427500.0,650000.0,15.663749999999993,0.0,47.65250000000001,107.75,0.0,150,0.4,0.16895271395173117,True,state_x_product,state_code x loan_type,DC | Conventional,False
79.0,245000.0,355000.0,90.0,360.0,0.0,0.0,0.0,70.0,210000.0,160000.0,18.147000000000006,0.0,0.0,0.0,0.0,1090,0.9908256880733946,0.166721553839143,True,state_x_purpose,state_code x loan_purpose,Unknown | Home_Purchase,False
99.0,390000.0,375000.0,100.0,360.0,0.0,0.0,0.0,50.75,257500.0,160000.0,6.757999999999996,0.0,0.0,0.0,0.0,50,0.98,0.15611498458380435,True,state_x_product,state_code x loan_type,Unknown | VA,False
120.0,480000.0,490000.0,78.353,360.0,45.525000000000006,140.5,139700.0,136.0,515000.0,502500.0,10.108249999999998,0.0,40.629999999999995,101.75,0.0,86,0.32558139534883723,0.15262595923591038,True,state_x_purpose,state_code x loan_purpose,DC | Home_Purchase,False
62.0,205000.0,245000.0,96.5,360.0,0.0,0.0,0.0,42.25,150000.0,210000.0,7.288749999999993,0.0,0.0,0.0,0.0,176,1.0,0.14802061780858333,True,state_x_product,state_code x loan_type,Unknown | FHA,False
52.0,115000.0,145000.0,88.302,360.0,99.46,112.0,31400.0,60.0,60000.0,70000.0,18.147000000000006,0.0,0.25,55.0,4500.0,69,0.18840579710144928,0.13791053182881252,True,state_x_product,state_code x loan_type,PR | FHA,True
129.0,405000.0,905000.0,56.522,360.0,84.43,110.0,113300.0,100.5,255000.0,610000.0,42.55649999999999,0.0,18.224999999999994,32.5,12200.0,63,0.09523809523809523,0.13459203292866673,True,state_x_purpose,state_code x loan_purpose,HI | Refinance,True
125.0,375000.0,655000.0,78.353,360.0,57.58,113.0,91100.0,122.0,430000.0,650000.0,18.577249999999992,0.0,40.790000000000006,63.0,31700.0,8195,0.2745576571079927,0.1060253032491465,True,state_x_product,state_code x loan_type,CA | Conventional,False
84.5,245000.0,375000.0,81.81899999999999,360.0,0.0,0.0,0.0,78.0,240000.0,150000.0,16.647000000000006,0.0,0.0,0.0,0.0,896,0.9765625,0.09745056803346697,True,state_x_product,state_code x loan_type,Unknown | Conventional,False
