antecedent,consequent,support,confidence,lift,leverage,conviction,n_items
"debt_to_income_ratio=>60%, lien_status=Subordinate_Lien",decision=Denied,0.021540094652571985,0.9395498392282958,4.0631756532349925,0.016238799190382864,12.717330134958496,2
"debt_to_income_ratio=>60%, loan_type=Conventional",decision=Denied,0.04899228920636325,0.9329028635597979,4.034430153447489,0.036848742945065724,11.45748823320073,2
"cltv_band=60-80%, debt_to_income_ratio=>60%",decision=Denied,0.024503516298819056,0.9228206551915603,3.990828652109026,0.01836355930370484,9.960756380520786,2
"debt_to_income_ratio=>60%, occupancy_type=Principal_Residence",decision=Denied,0.05177879015731199,0.9198533263488738,3.977996146790683,0.03876249043085664,9.591972021090577,2
"conforming_loan_limit=C, debt_to_income_ratio=>60%",decision=Denied,0.053179412328423784,0.9187468160978094,3.973210934421456,0.039794919733854975,9.46134802754915,2
debt_to_income_ratio=>60%,decision=Denied,0.05559732849750099,0.9150691579713662,3.9573065402782364,0.041548043224394,9.051654650802785,1
"debt_to_income_ratio=>60%, tract_income_cat=Middle_Income",decision=Denied,0.023397761953204477,0.9146974063400577,3.955698863799228,0.01748281171082626,9.012207229123065,2
"debt_to_income_ratio=>60%, derived_ethnicity=Not Hispanic or Latino",decision=Denied,0.03604759166703525,0.9106145251396648,3.9380420426324947,0.026893907862547924,8.600554535804324,2
"debt_to_income_ratio=>60%, derived_race=White",decision=Denied,0.03177200819732555,0.9020510673922144,3.90100852767226,0.023627445586926955,7.8486271445491305,2
"debt_to_income_ratio=>60%, lien_status=First_Lien",decision=Denied,0.03405723384492901,0.9002338269680435,3.89314969279275,0.02530924403401114,7.705664433964343,2
"construction_method=Manufactured, loan_type=Conventional",decision=Denied,0.022970203606233506,0.6351406441092541,2.746728160418157,0.014607452629545459,2.1070164128538327,2
"debt_to_income_ratio=50%-60%, loan_type=Conventional",decision=Denied,0.02531440281893641,0.6223269300471185,2.6913139941536537,0.015908438715926905,2.0355294364541017,2
"construction_method=Manufactured, loan_purpose=Home_Purchase",decision=Denied,0.021451634304922817,0.6139240506329113,2.6549749159830704,0.013371846365766406,1.9912264737167629,2
"income_band=<30k, loan_type=Conventional",decision=Denied,0.02273430934583573,0.5986024844720497,2.5887152967537435,0.013952227602685134,1.9152202530051494,2
"income_band=<30k, occupancy_type=Principal_Residence",decision=Denied,0.02557978386188391,0.5929596719070404,2.564312399033335,0.015604484490587852,1.8886694958380374,2
"construction_method=Manufactured, occupancy_type=Principal_Residence",decision=Denied,0.023707373169976557,0.5796683489545782,2.5068327661656578,0.014250271168617958,1.8289478066499572,2
income_band=<30k,decision=Denied,0.027378477597416958,0.5781444582814446,2.500242551125704,0.016428148964264894,1.8223410035418413,1
"construction_method=Manufactured, lien_status=First_Lien",decision=Denied,0.02373685995252628,0.5776820954431288,2.498243017573393,0.014235438439265134,1.8203458649278133,2
"conforming_loan_limit=C, income_band=<30k",decision=Denied,0.026803485337697375,0.5764109067850348,2.4927456372423205,0.01605088991149513,1.8148830164872607,2
"conforming_loan_limit=C, construction_method=Manufactured",decision=Denied,0.02426762203842128,0.5719249478804727,2.4733456669146148,0.014455963941842315,1.795864177178035,2
construction_method=Manufactured,decision=Denied,0.02426762203842128,0.5691562932226832,2.46137234764186,0.014408235236716496,1.7843237330664283,1
preapproval=Requested,decision=Originated,0.023338788388105033,1.0,1.3007882170185834,0.00539675287244076,inf,1
"conforming_loan_limit=C, preapproval=Requested",decision=Originated,0.021584324826396568,1.0,1.3007882170185834,0.004991058878871302,inf,2
"lien_status=First_Lien, preapproval=Requested",decision=Originated,0.02317661108408156,1.0,1.3007882170185834,0.005359251746984758,inf,2
"loan_purpose=Home_Purchase, preapproval=Requested",decision=Originated,0.023338788388105033,1.0,1.3007882170185834,0.00539675287244076,inf,2
"occupancy_type=Principal_Residence, preapproval=Requested",decision=Originated,0.02164329839149601,1.0,1.3007882170185834,0.005004695651764392,inf,2
"debt_to_income_ratio=30%-<36%, loan_purpose=Home_Purchase",decision=Originated,0.06227608474501305,0.9250985545335085,1.2033572993181114,0.010524136441460885,3.087194743903413,2
"debt_to_income_ratio=30%-<36%, loan_amount_band=300-500k",decision=Originated,0.025624014035708492,0.9234856535600424,1.201259256736609,0.0042930533026193166,3.022117544144167,2
