rule_id,antecedent,consequent,support,confidence,lift,leverage,conviction,n_items,improvement,best_subrule
R1,"debt_to_income_ratio=>60%, lien_status=Subordinate_Lien",decision=Denied,0.021540094652571985,0.9395498392282958,4.0631756532349925,0.016238799190382864,12.717330134958496,2,0.024480681256929593,debt_to_income_ratio=>60%
R2,debt_to_income_ratio=>60%,decision=Denied,0.05559732849750099,0.9150691579713662,3.9573065402782364,0.041548043224394,9.051654650802785,1,0.6838338092164457,(base rate)
R3,"construction_method=Manufactured, loan_type=Conventional",decision=Denied,0.022970203606233506,0.6351406441092541,2.746728160418157,0.014607452629545459,2.1070164128538327,2,0.06598435088657084,construction_method=Manufactured
R4,"debt_to_income_ratio=50%-60%, loan_type=Conventional",decision=Denied,0.02531440281893641,0.6223269300471185,2.6913139941536537,0.015908438715926905,2.0355294364541017,2,0.20545856289016445,debt_to_income_ratio=50%-60%
R5,"construction_method=Manufactured, loan_purpose=Home_Purchase",decision=Denied,0.021451634304922817,0.6139240506329113,2.6549749159830704,0.013371846365766406,1.9912264737167629,2,0.04476775741022809,construction_method=Manufactured
R6,"income_band=<30k, loan_type=Conventional",decision=Denied,0.02273430934583573,0.5986024844720497,2.5887152967537435,0.013952227602685134,1.9152202530051494,2,0.020458026190605105,income_band=<30k
R7,income_band=<30k,decision=Denied,0.027378477597416958,0.5781444582814446,2.500242551125704,0.016428148964264894,1.8223410035418413,1,0.346909109526524,(base rate)
R8,construction_method=Manufactured,decision=Denied,0.02426762203842128,0.5691562932226832,2.46137234764186,0.014408235236716496,1.7843237330664283,1,0.33792094446776266,(base rate)
R9,preapproval=Requested,decision=Originated,0.023338788388105033,1.0,1.3007882170185834,0.00539675287244076,inf,1,0.23123534875492058,(base rate)
R10,"debt_to_income_ratio=30%-<36%, loan_purpose=Home_Purchase",decision=Originated,0.06227608474501305,0.9250985545335085,1.2033572993181114,0.010524136441460885,3.087194743903413,2,0.06299011452934566,debt_to_income_ratio=30%-<36%
R11,"debt_to_income_ratio=30%-<36%, loan_amount_band=300-500k",decision=Originated,0.025624014035708492,0.9234856535600424,1.201259256736609,0.0042930533026193166,3.022117544144167,2,0.06137721355587955,debt_to_income_ratio=30%-<36%
